"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet","Manufacturer Part Number","Manufacturer","LCSC Part #","JLCPCB Stock","JLCPCB Unit Price","JLCPCB Product URL"
"C1","1","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","AutoBOM_C14663:C0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf","CC0603KRX7R9BB104","YAGEO","C14663","52289174","0.0124 USD","https://jlcpcb.com/partdetail/C14663"
"R1,R2","2","10k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric","https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","0805W8F1002T5E","UNI-ROYAL(Uniroyal Elec)","C17414","54318947","0.0039 USD","https://jlcpcb.com/partdetail/C17414"
